Producto, Volumen mtro3
643 , 0.00297500 
644 , 0.08797584 
645 , 0.08100000 
646 , 0.02523800 
647 , 0.01032407 
648 , 0.02122000 
649 , 0.00072000 
650 , 0.00010000 
651 , 0.00080000 
652 , 0.00083164 
653 , 0.38400000 
654 , 0.00054000 
655 , 0.18921641 
656 , 0.05050900 
657 , 0.00095680 
658 , 0.07000000 
659 , 0.01112900 
660 , 0.00006135 
661 , 0.00054000 
662 , 0.00112500 
663 , 0.03000000 
664 , 0.22987500 
665 , 0.00001276 
666 , 0.00214414 
667 , 0.00100000 
668 , 0.00060300 
669 , 0.55699900 
670 , 0.00108100 
671 , 0.00094812 
672 , 0.00001276 
673 , 0.00391763 
674 , 0.00112500 
675 , 0.08151985 
676 , 0.00095680 
677 , 0.00370000 
678 , 0.00085200 
679 , 0.24861992 
680 , 0.86818500 
681 , 0.00093183 
682 , 0.00915500 
683 , 0.01123100 
684 , 0.00018100 
685 , 0.22312500 
686 , 0.72300000 
687 , 0.01093900 
688 , 0.03728076 
689 , 0.00182600 
690 , 0.00112500 
691 , 0.05524500 
692 , 0.21224313 
693 , 0.22000000 
694 , 0.00060100 
695 , 0.02050100 
696 , 0.23600000 
697 , 0.00112500 
698 , 1.12000000 
699 , 0.00026600 
700 , 0.00043200 
701 , 0.00622200 
702 , 0.00001276 
703 , 0.05400000 
704 , 0.00112500 
705 , 0.94000000 
706 , 0.02066131 
707 , 0.13409700 
708 , 0.03000000 
709 , 0.00030000 
710 , 0.00383189 
711 , 0.01269132 
712 , 0.00391763 
713 , 0.00675500 
714 , 0.05300600 
715 , 0.00010000 
716 , 0.01474900 
717 , 0.12770000 
718 , 0.01842676 
719 , 0.00100000 
720 , 0.00095680 
721 , 0.00116481 
722 , 0.00026600 
723 , 0.43168000 
724 , 0.00054000 
725 , 0.67973333 
726 , 0.24861992 
727 , 0.20526400 
728 , 0.00054033 
729 , 0.00554200 
730 , 0.00095390 
731 , 0.00112500 
732 , 0.31065900 
733 , 0.05936000 
734 , 0.28052000 
735 , 0.01474900 
736 , 0.02878200 
737 , 0.00095680 
738 , 0.00100000 
739 , 0.00100000 
740 , 0.00689300 
741 , 0.05524500 
742 , 0.05044900 
743 , 0.02878200 
744 , 0.05300600 
745 , 0.00095680 
746 , 0.00095680 
747 , 0.00060100 
748 , 0.72300000 
749 , 0.00182600 
750 , 0.00076400 
751 , 0.00085200 
752 , 0.00002414 
753 , 0.05524500 
754 , 0.00329920 
755 , 0.34321700 
756 , 0.19100000 
757 , 0.03000000 
758 , 0.62437233 
759 , 0.62437233 
760 , 0.72300000 
761 , 0.00100000 
762 , 0.14400000 
763 , 0.00047400 
764 , 0.02033500 
765 , 0.00112500 
766 , 0.00715900 
767 , 0.00001350 
768 , 0.00712041 
769 , 0.02952600 
770 , 0.00060300 
771 , 0.00215900 
772 , 0.02464000 
773 , 0.00189000 
774 , 0.00451100 
775 , 0.25331800 
776 , 0.06000000 
777 , 0.00623500 
778 , 0.00095680 
779 , 0.00047400 
780 , 0.00112500 
781 , 1.18100000 
782 , 0.00024000 
783 , 0.03760600 
784 , 0.00001276 
785 , 0.00093230 
786 , 0.00054000 
787 , 0.00029000 
788 , 0.39166253 
789 , 0.83000000 
790 , 0.02878200 
791 , 0.53500800 
792 , 0.00105000 
793 , 0.00056000 
794 , 0.00094812 
795 , 0.00095680 
796 , 0.00105990 
797 , 0.60761600 
798 , 0.08993931 
799 , 0.06000000 
800 , 0.00095680 
801 , 0.00095680 
802 , 0.06091200 
803 , 0.00010000 
804 , 0.00623500 
805 , 0.00053478 
806 , 0.00095680 
807 , 0.00095680 
808 , 0.08006072 
809 , 0.00255400 
810 , 0.08098224 
811 , 0.00715900 
812 , 0.00095680 
813 , 0.00457600 
814 , 0.00060300 
815 , 0.02523800 
816 , 0.00449000 
817 , 0.00006000 
818 , 0.00010000 
819 , 0.91370000 
820 , 1.02375000 
821 , 0.02630000 
822 , 0.00100000 
823 , 0.00010000 
824 , 0.00095680 
825 , 0.00105000 
826 , 0.00095680 
827 , 0.05524500 
828 , 0.00049945 
829 , 1.96000000 
830 , 0.00095680 
831 , 0.00060300 
832 , 0.00060100 
833 , 0.01000000 
834 , 0.12807800 
835 , 0.00047400 
836 , 0.00095680 
837 , 0.02878200 
838 , 0.04632200 
839 , 0.00054000 
840 , 0.00622200 
841 , 0.17000000 
842 , 0.00084832 
843 , 0.02298751 
844 , 0.00112500 
845 , 0.00099580 
846 , 0.05000000 
847 , 0.00100000 
848 , 0.01112900 
849 , 0.82670000 
850 , 0.00642000 
851 , 0.00626130 
852 , 0.05300600 
853 , 0.00095680 
854 , 0.00073500 
855 , 0.00010000 
856 , 0.00004682 
857 , 0.00095680 
858 , 0.00112500 
859 , 0.00060000 
860 , 0.02033500 
861 , 0.00100000 
862 , 0.01408800 
863 , 0.00026600 
864 , 0.94000000 
865 , 0.92080000 
866 , 0.00852000 
867 , 0.54717000 
868 , 0.55699900 
869 , 0.39166253 
870 , 0.06404000 
871 , 0.00061861 
872 , 1.37600000 
873 , 0.16780800 
874 , 0.00054033 
